label,Math,Read,Scie,Weight,Header
Strongly disagree,464,464.52865,470.3331607,42.39690436,My teacher gets students to listen to her
Strongly agree,466,468.9289687,472.6573248,50.81112886,
Disagree,483,487.1171307,489.5443401,45.64743298,
Agree,475,477.7935223,481.1494277,52.58800149,
NA,464,465.789025,470.1272578,51.03948107,
