label,Math,Read,Scie,Weight,Header,Header2^M
Improve understanding,482,486.4290543,488.2307543,50.00250026,Children who understand the idea behind the theory are best,Question: Describe Learning Strategies?^M
check memory,468,474.174743,476.5319336,52.18972596
new ways,453,447.0906758,456.5492136,50.37765131
